YS MEMOIRE UNUSED FONT CODE ANALYSIS
==============================================================================================================

FONT CHARACTERS: 7935
GAME FILES SCANNED: 837
USED UNICODE CODES: 9402
UNUSED FONT CODES: 451

UNUSED BY CATEGORY
--------------------------------------------------------------------------------------------------------------
OTHER                    363
LATIN1                   88

==============================================================================================================
UNUSED CODES
==============================================================================================================
index= 2046 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2071 code=U+00A2 char='¢'          addr=0x21DF6 CP932=81 91
index= 2072 code=U+00A6 char='¦'          addr=0x234CE CP932=UNENCODABLE
index= 2073 code=U+00AA char='ª'          addr=0x243BF CP932=UNENCODABLE
index= 2074 code=U+00AE char='®'          addr=0x250A2 CP932=UNENCODABLE
index= 2075 code=U+00B2 char='²'          addr=0x2621F CP932=UNENCODABLE
index= 2077 code=U+00BA char='º'          addr=0x271BC CP932=UNENCODABLE
index= 2078 code=U+00BE char='¾'          addr=0x286CC CP932=UNENCODABLE
index= 2079 code=U+00C2 char='Â'          addr=0x2A436 CP932=UNENCODABLE
index= 2080 code=U+00C6 char='Æ'          addr=0x2C92A CP932=UNENCODABLE
index= 2081 code=U+00CA char='Ê'          addr=0x2E786 CP932=UNENCODABLE
index= 2082 code=U+00CE char='Î'          addr=0x2FCE7 CP932=UNENCODABLE
index= 2083 code=U+00D2 char='Ò'          addr=0x31634 CP932=UNENCODABLE
index= 2084 code=U+00D6 char='Ö'          addr=0x33932 CP932=UNENCODABLE
index= 2085 code=U+00DA char='Ú'          addr=0x3569A CP932=UNENCODABLE
index= 2086 code=U+00DE char='Þ'          addr=0x3776D CP932=UNENCODABLE
index= 2087 code=U+00E2 char='â'          addr=0x38C45 CP932=UNENCODABLE
index= 2088 code=U+00E6 char='æ'          addr=0x39DB9 CP932=UNENCODABLE
index= 2089 code=U+00EA char='ê'          addr=0x3B0E5 CP932=UNENCODABLE
index= 2090 code=U+00EE char='î'          addr=0x3BF91 CP932=UNENCODABLE
index= 2091 code=U+00F2 char='ò'          addr=0x3D08B CP932=UNENCODABLE
index= 2092 code=U+00F6 char='ö'          addr=0x3E495 CP932=UNENCODABLE
index= 2093 code=U+00FA char='ú'          addr=0x3FAA3 CP932=UNENCODABLE
index= 2094 code=U+00FE char='þ'          addr=0x40E87 CP932=UNENCODABLE
index= 2095 code=U+0104 char='Ą'          addr=0x427D9 CP932=UNENCODABLE
index= 2096 code=U+010C char='Č'          addr=0x44410 CP932=UNENCODABLE
index= 2097 code=U+0116 char='Ė'          addr=0x45C6A CP932=UNENCODABLE
index= 2098 code=U+011E char='Ğ'          addr=0x472EA CP932=UNENCODABLE
index= 2099 code=U+0127 char='ħ'          addr=0x48FAD CP932=UNENCODABLE
index= 2100 code=U+012B char='ī'          addr=0x4A45E CP932=UNENCODABLE
index= 2101 code=U+0131 char='ı'          addr=0x4B0A9 CP932=UNENCODABLE
index= 2102 code=U+0136 char='Ķ'          addr=0x4C24D CP932=UNENCODABLE
index= 2103 code=U+013C char='ļ'          addr=0x4DA4A CP932=UNENCODABLE
index= 2104 code=U+0143 char='Ń'          addr=0x4EAE5 CP932=UNENCODABLE
index= 2105 code=U+014C char='Ō'          addr=0x5031A CP932=UNENCODABLE
index= 2106 code=U+0154 char='Ŕ'          addr=0x51CF2 CP932=UNENCODABLE
index= 2107 code=U+0159 char='ř'          addr=0x538F1 CP932=UNENCODABLE
index= 2108 code=U+015F char='ş'          addr=0x55131 CP932=UNENCODABLE
index= 2109 code=U+016B char='ū'          addr=0x56904 CP932=UNENCODABLE
index= 2110 code=U+0179 char='Ź'          addr=0x581C2 CP932=UNENCODABLE
index= 2111 code=U+017D char='Ž'          addr=0x5998E CP932=UNENCODABLE
index= 2124 code=U+0402 char='Ђ'          addr=0x69D23 CP932=UNENCODABLE
index= 2125 code=U+0406 char='І'          addr=0x6B92F CP932=UNENCODABLE
index= 2126 code=U+040A char='Њ'          addr=0x6CD95 CP932=UNENCODABLE
index= 2127 code=U+040F char='Џ'          addr=0x6EAAC CP932=UNENCODABLE
index= 2144 code=U+0454 char='є'          addr=0x8D4A1 CP932=UNENCODABLE
index= 2145 code=U+0458 char='ј'          addr=0x8DF97 CP932=UNENCODABLE
index= 2146 code=U+045C char='ќ'          addr=0x8F23C CP932=UNENCODABLE
index= 2147 code=U+0491 char='ґ'          addr=0x9065B CP932=UNENCODABLE
index= 2152 code=U+203A char='›'          addr=0x93459 CP932=UNENCODABLE
index= 2153 code=U+2120 char='℠'          addr=0x95620 CP932=UNENCODABLE
index= 2187 code=U+2665 char='♥'          addr=0xCB728 CP932=UNENCODABLE
index= 3967 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 3968 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 3969 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 3970 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 3971 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 3972 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 3973 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 3974 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 3975 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 3976 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 3977 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 3978 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 3979 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 3980 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 3981 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 3982 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 3983 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 3984 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 3985 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 3986 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 3987 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 3988 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 3989 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 3990 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 3991 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 3992 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 3993 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 3994 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 3995 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 3996 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 3997 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 3998 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 3999 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4000 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4001 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4002 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4003 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4004 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4005 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4006 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4007 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4008 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4009 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4010 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4011 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4012 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4013 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4014 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4015 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4016 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4017 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4018 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4019 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4020 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4021 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4022 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4023 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4024 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4025 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4026 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4027 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4028 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4029 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4030 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4031 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4032 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4033 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4034 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4035 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4036 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4037 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4038 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4039 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4040 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4041 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4042 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4043 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4044 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4045 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4046 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4047 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4048 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4049 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4050 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4051 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4052 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4053 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4054 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4055 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4056 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4057 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4058 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4059 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4060 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4061 code=U+FFFFFFFF char=''           addr=0x0 CP932=
